"TechGroup","regio_inv","TimePeriod","non_western_share","onshored_patents","reg_label","TechGroup_No","regio_tech","N_patents_TechGroup","imputed_N_inv_ChinaIndia","N_inv_regiotech","imputed_N_inv_regiotech","ChinaIndia_share_imputed","imputed_N_inv_nonwestern","non_western_share_imputed","imputed_N_inv_anglosaxon","anglosaxon_share_imputed","N_inv_nonwestern"
"Instruments","Iowa","2005",8.97173302824225,3,"IA","05","IA05",54919,3.42759525682995,43,65.3699140125859,5.2433834564476,4.32155326227865,6.61092083040925,34.5070232036107,52.7873161910033,3.85784520214417
"Instruments","New Jersey","2010",36.5431365988206,282,"NJ","05","NJ05",67736,211.468325775572,713,987.897823893933,21.405890433288,321.271830288858,32.5207549321773,399.343466851196,40.4235597237303,260.552563949591
"Instruments","Maine","2000",12.7924387271194,29,"ME","05","ME05",61681,2.20390554848434,61,19.6882355766921,11.194022643113,2.54257254945294,12.9141717120805,8.29622459585917,42.1379791172381,7.80338762354285
"Instruments","District of Columbia","2010",31.8126523101315,5,"DC","05","DC05",67736,2.99935641401728,36,22.3785127539991,13.4028406936081,5.1049542335284,22.8118565770915,8.82007309309307,39.4131334376405,11.4525548316473
"Instruments","Utah","2000",5.28647767088397,1,"UT","05","UT05",61681,3.01911941064173,75,56.5333621559302,5.34042076307863,6.08405741934214,10.7618885332896,29.8441914447536,52.79040606578,3.96485825316298
"Instruments","Vermont","2010",14.0791983844489,21,"VT","05","VT05",67736,8.42821807076273,70,66.1625594466061,12.7386518013475,12.5549372722416,18.9758941873667,33.6103943365567,50.7997190823318,9.85543886911421
"Instruments","Vermont","2005",3.71476086637154,22,"VT","05","VT05",54919,4.73468753346809,74,47.12177547197,10.0477698177661,7.24332337937437,15.3714992841961,24.9242493236999,52.8932729593899,2.74892304111494
"Instruments","Pennsylvania","2000",20.5995624048601,65,"PA","05","PA05",61681,79.8133941203744,295,805.248835086708,9.91164353709127,127.011127276263,15.7729041933463,390.113467598042,48.4463249867397,60.7687090943374
"Instruments","South Carolina","1995",10.4950258830887,21,"SC","05","SC05",51957,2.60489871171468,35,45.9928904260941,5.66369864468617,3.53946412267285,7.69567663584965,27.1702565975732,59.0749055905349,3.67325905908103
"Instruments","Texas","2005",18.4195548997198,227,"TX","05","TX05",54919,49.8723375192804,744,494.316664264784,10.0891475292377,75.9381360629067,15.3622448022974,266.600955274326,53.9332323887667,137.041488453915
