"","organization","organization_cleaned","eq_firm","name_diff","match"
"523","hyundai","hyundai","hyundai",0,1
"524","hyundai mobis","hyundai mobis","hyundai mobis",0,1
"525","hyundai motor","hyundai motor","hyundai motor",0,1
"526","hyundai wia","hyundai wia","hyundai wia",0,1
"527","kcc","kcc","kcc",0,1
"528","kia motors","kia motors","kia motors",0,1
"529","kt","kt","kt",0,1
"530","lg chemical","lg","lg",0,1
"531","lg display","lg display","lg display",0,1
"532","lg electronics","lg electronics","lg electronics",0,1
"533","lotte chemical","lotte","lotte",0,1
"534","nexon","nexon","nexon",0,1
"535","nongshim","nongshim","nongshim",0,1
"536","samsung","samsung","samsung",0,1
"537","samsung electronics","samsung electronics","samsung electronics",0,1
"538","samsung sds","samsung sds","samsung sds",0,1
"539","sk innovation","sk","sk",0,1
"540","sk hynix","sk hynix","sk hynix",0,1
"541","sk telecom","sk telecom","sk telecom",0,1
"542","taegutec","taegutec","taegutec",0,1
"543","young chang chemical","young chang","young chang",0,1
"544","au optronics","au optronics","au optronics",0,1
"545","avision","avision","avision",0,1
"546","benq","benq","benq",0,1
"547","chi mei communication systems","chi mei","chi mei",0,1
"548","chicony electronics","chicony electronics","chicony electronics",0,1
"549","chroma ate","chroma ate","chroma ate",0,1
"550","chunghwa telecom","chunghwa telecom","chunghwa telecom",0,1
"551","compal electronics","compal electronics","compal electronics",0,1
"552","delta electronics","delta electronics","delta electronics",0,1
"553","everlight electronics","everlight electronics","everlight electronics",0,1
"554","fareastone telecommunications","fareastone","fareastone",0,1
"555","foxconn","foxconn","foxconn",0,1
"556","global unichip","global unichip","global unichip",0,1
"557","hannstar display","hannstar display","hannstar display",0,1
"558","infortrend","infortrend","infortrend",0,1
"559","innolux","innolux","innolux",0,1
"560","inventec","inventec","inventec",0,1
"561","mediatek","mediatek","mediatek",0,1
"562","mitac","mitac","mitac",0,1
"563","mstar semiconductor","mstar semiconductor","mstar semiconductor",0,1
"564","mustek systems","mustek","mustek",0,1
"565","nuvoton","nuvoton","nuvoton",0,1
"566","pou chen","pou chen","pou chen",0,1
"567","powerchip semiconductor","powerchip semiconductor","powerchip semiconductor",0,1
"568","quanta computer","quanta computer","quanta computer",0,1
"569","silicon integrated systems","silicon integrated","silicon integrated",0,1
"570","taiwan sugar","taiwan sugar","taiwan sugar",0,1
"571","tecom","tecom","tecom",0,1
"572","thermaltake","thermaltake","thermaltake",0,1
"573","united microelectronics","united microelectronics","united microelectronics",0,1
"574","wistron","wistron","wistron",0,1
"575","molinos rio de la plata","molinos rio de la plata","molinos rio de la plata",0,1
"576","ypf","ypf","ypf",0,1
"577","amcor","amcor","amcor",0,1
"578","aristocrat leisure","aristocrat leisure","aristocrat leisure",0,1
"579","aurizon operations","aurizon","aurizon",0,1
"580","bae systems australia","bae australia","bae australia",0,1
"581","chemeq","chemeq","chemeq",0,1
"582","ergon energy","ergon energy","ergon energy",0,1
"583","florigene","florigene","florigene",0,1
"584","goodman fielder","goodman fielder","goodman fielder",0,1
"585","incitec pivot","incitec pivot","incitec pivot",0,1
"586","macquarie","macquarie","macquarie",0,1
"587","metal storm","metal storm","metal storm",0,1
"588","nufarm","nufarm","nufarm",0,1
"589","orocobre","orocobre","orocobre",0,1
"590","pipe networks","pipe networks","pipe networks",0,1
"591","queensland rail","queensland rail","queensland rail",0,1
"592","santos","santos","santos",0,1
"593","stanwell","stanwell","stanwell",0,1
"594","sydney water","sydney water","sydney water",0,1
"595","transurban","transurban","transurban",0,1
"596","aht cooling systems","aht cooling","aht cooling",0,1
"597","andritz","andritz","andritz",0,1
"598","bene","bene","bene",0,1
"599","cisc semiconductor","cisc semiconductor","cisc semiconductor",0,1
"600","delfortgroup","delfortgroup","delfortgroup",0,1
"601","doka","doka","doka",0,1
