"organization";"organization_cleaned";"eq_firm";"name_diff";"match";"classified"
"rhodia operations";"rhodia";"rhodia";0;1;"auto"
"safran";"safran";"safran";0;1;"auto"
"sagem";"sagem";"sagem";0;1;"auto"
"salomon";"salomon";"salomon";0;1;"auto"
"schneider electric";"schneider electric";"schneider electric";0;1;"auto"
"snecma";"snecma";"snecma";0;1;"auto"
"bic";"bic";"bic";0;1;"auto"
"sodexo";"sodexo";"sodexo";0;1;"auto"
"technicolor licensing";"technicolor";"technicolor";0;1;"auto"
"technip";"technip";"technip";0;1;"auto"
"thales";"thales";"thales";0;1;"auto"
"total";"total";"total";0;1;"auto"
"adidas";"adidas";"adidas";0;1;"auto"
"aeg";"aeg";"aeg";0;1;"auto"
"altana pharma";"altana";"altana";0;1;"auto"
"arcor";"arcor";"arcor";0;1;"auto"
"audi";"audi";"audi";0;1;"auto"
"august storck kg";"august storck";"august storck";0;1;"auto"
"basf";"basf";"basf";0;1;"auto"
"bayer";"bayer";"bayer";0;1;"auto"
"beiersdorf";"beiersdorf";"beiersdorf";0;1;"auto"
"bmw";"bmw";"bmw";0;1;"auto"
"boehringer ingelheim";"boehringer ingelheim";"boehringer ingelheim";0;1;"auto"
"braun";"braun";"braun";0;1;"auto"
"carl zeiss";"carl zeiss";"carl zeiss";0;1;"auto"
"continental";"continental";"continental";0;1;"auto"
"daimler";"daimler";"daimler";0;1;"auto"
"deutsche börse";"deutsche borse";"deutsche borse";0;1;"auto"
"deutsche telekom";"deutsche telekom";"deutsche telekom";0;1;"auto"
"dräger medical";"drager";"drager";0;1;"auto"
"dürr systems";"durr";"durr";0;1;"auto"
"elringklinger";"elringklinger";"elringklinger";0;1;"auto"
"epcos";"epcos";"epcos";0;1;"auto"
"festo";"festo";"festo";0;1;"auto"
"fresenius";"fresenius";"fresenius";0;1;"auto"
"gea";"gea";"gea";0;1;"auto"
"gfk";"gfk";"gfk";0;1;"auto"
"heidelberger druckmaschinen";"heidelberger druckmaschinen";"heidelberger druckmaschinen";0;1;"auto"
"heinkel";"heinkel";"heinkel";0;1;"auto"
"henkel";"henkel";"henkel";0;1;"auto"
"heraeus holding";"heraeus";"heraeus";0;1;"auto"
"herrenknecht";"herrenknecht";"herrenknecht";0;1;"auto"
"hoechst";"hoechst";"hoechst";0;1;"auto"
"hoesch";"hoesch";"hoesch";0;1;"auto"
"iav";"iav";"iav";0;1;"auto"
"j schmalz";"j schmalz";"j schmalz";0;1;"auto"
"körber";"korber";"korber";0;1;"auto"
"kraussmaffei";"kraussmaffei";"kraussmaffei";0;1;"auto"
"krones";"krones";"krones";0;1;"auto"
"kuka systems";"kuka";"kuka";0;1;"auto"
"magix";"magix";"magix";0;1;"auto"
"mahle";"mahle";"mahle";0;1;"auto"
"man";"man";"man";0;1;"auto"
"mannesmann";"mannesmann";"mannesmann";0;1;"auto"
"merck";"merck";"merck";0;1;"auto"
"metro systems";"metro";"metro";0;1;"auto"
"miele";"miele";"miele";0;1;"auto"
"philipp holzmann";"philipp holzmann";"philipp holzmann";0;1;"auto"
"porsche";"porsche";"porsche";0;1;"auto"
"puma";"puma";"puma";0;1;"auto"
"recaro";"recaro";"recaro";0;1;"auto"
"rheinmetall";"rheinmetall";"rheinmetall";0;1;"auto"
"robert bosch";"robert bosch";"robert bosch";0;1;"auto"
"rwe";"rwe";"rwe";0;1;"auto"
"saba";"saba";"saba";0;1;"auto"
"schaeffler kg";"schaeffler";"schaeffler";0;1;"auto"
"schering";"schering";"schering";0;1;"auto"
"schott";"schott";"schott";0;1;"auto"
"seca";"seca";"seca";0;1;"auto"
"siemens";"siemens";"siemens";0;1;"auto"
"";"";"";0;1;"auto"
"sudzucker";"sudzucker";"sudzucker";0;1;"auto"
"thyssenkrupp";"thyssenkrupp";"thyssenkrupp";0;1;"auto"
